LEADS CONSTRUTORAS;;;;;;;
NOME ;CIDADE;WHATSAPP;IMAGENS (NOTA);SEGUIDORES INSTAGRAM;PRIMEIRO CONTATO;OBSERVAÇÕES;RESPONSÁVEL
fhsempreendimentos;BOMBINHAS - SC;47996423473;*** (3);1515;20-jan.;ia passar pro setor responsavel, tem interesse, projeto em bombinhas.;João vitor
padoanincorporacoes;GAROPABA - SC;48992048962;;2957;20-jan.;grosseria, já tem gente que faz ;Vitor Nitz
forterrasempreendimentos;ITAPEMA - SC;4731702200;;17.1 MIL;20-jan.;;
darrigoincorporadora;PORTO BELO - SC;5496094040;;467;;;
propriedadespremier;PENHA - SC;554731701692;;4.3 MIL;;;
wprimelitoral;JOINVILLE - SC;55 47 9229-5100;;327;;;
tonolher.empreendimentos;ITAPEMA - SC;554791909080;;7 MIL;;;
tomaz_empreendimentos_sc;IMBITUBA - SC;48991624706;;632;;;
construtoraoca;JOAO PESSOA - PARAIBA;8388568753;;15,6 MIL;;;
mabrem.empreendimentos;ITAJAI;554792656400;;6,7 mil;;;
grupokrystal;PORTO ALEGRE ;5196553310;;9,4 mil;;;
construtora.voltolini;PORTO BELO - SC;47991388818;;7,9;;;
kmxconstrutora;CAMBORIÚ;47 8496-4132;;5,6;;;
camposincorporadora;JOINVILLE - SC;554791382244;;5,9;;;
pioneira_empreendimentos;BALNEÁRIO CAMBORIÚ;554791535140;;5,8;;;
daxo.incorporadora;JOINVILLE - SC;554797638958;;21,4;;;
clarusconstrutora;ITAJAI;4730452337;;9,4;;;
macomconstrutora;ITAPEMA - SC;4796476790;;8;;;
lfjconstrutora;BALNEÁRIO CAMBORIÚ;4799443832;;8;;;
gvconstrutora;ITAPEMA - SC;4733459615;;8.3;;;
silvapackerconstrutora;BALNEÁRIO CAMBORIÚ;4799289956;;11,3;;;
wfconstrutoraincorporadora;ITAPEMA - SC;4899724208;;16,5;;;
heilconstrutora;ITAPEMA - SC;47997370044;;1,8;;;
thozenconstrutora;PORTO BELO - SC; 47997730652;;6,5;;;
incorposul;JOINVILLE - SC;4734220229;;12,2;;investem em marketing, john vlogs é garoto propaganda. Aptos na brava e tals.;
manhattancambui;CAMPINAS - SP;19982369242;;1,1;;;
jbempr;CAMBORIÚ;554791457256;;1,1;;;
nivaempreendimentos;PORTO ALEGRE ;5189776024;;1,3;;;
bgnempreendimentos;ITAPEMA - SC;4791281443;;6,6;;;
cba_empreendimentos;FLORIANOPOLIS;554891411908;;11,3;;;
engeed_inc;ITAPEMA - SC;4734300100;;4,6;;;
rvempreendimentos;BALNEÁRIO CAMBORIÚ;4733615757;;18,1;;;
aikonempreendimentos;BALNEÁRIO CAMBORIÚ;4792866003;;10,9;;;
montclassgroup;ARARANGUÁ - SC;554891420624;;36,1;;;